Post_ID,Date,Doctor_ID,Specialty,Topic,Content_Type,Reach,Likes,Comments,Shares,Saves,CTA,Total_Engagement,Engagement_Rate,Engagement_per_1K_Reach
P0047,2025-09-28,D002,Diabetology,Insulin,Educational Post,3470,95,11,15,22,Read More,143,4.121037463976945,41.210374639769455
P0048,2025-07-25,D025,Cardiology,Heart Attack,Reel/Video,3001,189,29,35,33,Read More,286,9.530156614461847,95.30156614461846
P0049,2025-12-05,D002,Diabetology,Diabetic Diet,Flyer,3643,228,23,32,39,No CTA,322,8.838869063958278,88.38869063958276
P0050,2025-12-14,D020,Dermatology,Hair Loss,Flyer,3431,67,9,11,10,No CTA,97,2.8271640921014285,28.27164092101428
P0051,2025-03-26,D026,General Medicine,Fever,Carousel,6902,281,28,40,47,Save Post,396,5.737467400753405,57.37467400753405
P0052,2025-09-21,D020,Dermatology,Sunscreen,Static Post,4660,157,12,31,29,No CTA,229,4.914163090128755,49.14163090128755
P0053,2025-08-11,D012,Neurology,Sleep,Carousel,9541,442,45,42,75,Save Post,604,6.330573315166125,63.30573315166126
P0054,2025-12-24,D010,Pediatrics,Newborn Care,Static Post,2013,113,21,8,22,Learn More,164,8.147044212617983,81.47044212617983
P0055,2025-10-21,D003,Diabetology,Diabetes,Reel/Video,3897,220,25,24,37,Contact Doctor,306,7.852193995381063,78.52193995381063
P0056,2025-06-02,D025,Cardiology,Cholesterol,Reel/Video,4037,192,18,25,32,Learn More,267,6.613822145157296,66.13822145157296
P0057,2025-01-25,D016,Dermatology,Sunscreen,Flyer,5875,175,17,20,26,Save Post,238,4.051063829787234,40.51063829787234
P0058,2025-08-26,D013,Neurology,Sleep,Reel/Video,2635,129,13,11,27,Book Appointment,180,6.83111954459203,68.3111954459203
P0059,2025-06-24,D028,General Medicine,Vitamin Deficiency,Static Post,3296,103,16,19,26,Save Post,164,4.975728155339806,49.75728155339806
P0060,2025-01-12,D026,General Medicine,Weight Loss,Carousel,2387,138,15,15,29,Contact Doctor,197,8.25303728529535,82.5303728529535
P0061,2025-02-17,D011,Neurology,Headache,Carousel,3313,75,5,13,10,Book Appointment,103,3.108964684575913,31.08964684575913
P0062,2025-08-06,D030,General Medicine,Fever,Reel/Video,3144,179,18,23,27,Learn More,247,7.856234096692112,78.56234096692113
P0063,2025-12-23,D011,Neurology,Memory,Flyer,3814,162,28,25,19,Learn More,234,6.135291033036182,61.35291033036182
P0064,2025-10-27,D027,General Medicine,Dehydration,Flyer,4670,225,26,36,40,Learn More,327,7.002141327623127,70.02141327623127
P0065,2025-02-13,D014,Neurology,Headache,Reel/Video,2040,48,7,3,14,Learn More,72,3.5294117647058822,35.294117647058826
P0066,2025-03-08,D028,General Medicine,Vitamin Deficiency,Flyer,5284,248,27,21,39,Contact Doctor,335,6.339894019682059,63.39894019682059
P0067,2025-06-19,D020,Dermatology,Eczema,Static Post,6257,275,39,32,43,Read More,389,6.217036918651111,62.17036918651111
P0068,2025-09-06,D023,Cardiology,Heart Health,Educational Post,1591,90,7,6,20,Contact Doctor,123,7.730986800754243,77.30986800754243
P0069,2025-09-11,D003,Diabetology,Blood Sugar,Carousel,4350,149,18,21,28,Book Appointment,216,4.9655172413793105,49.6551724137931
P0070,2025-01-25,D025,Cardiology,Cholesterol,Carousel,4757,199,12,31,32,Learn More,274,5.759932730712634,57.59932730712634
P0071,2025-01-25,D019,Dermatology,Sunscreen,Educational Post,4717,173,20,18,23,Save Post,234,4.960780156879372,49.607801568793725
P0072,2025-06-18,D029,General Medicine,Weight Loss,Static Post,1893,50,9,6,10,Contact Doctor,75,3.9619651347068143,39.61965134706814
P0073,2025-04-26,D025,Cardiology,Heart Attack,Reel/Video,5801,349,49,38,60,No CTA,496,8.550249956903983,85.50249956903983
P0074,2025-11-22,D017,Dermatology,Hair Loss,Carousel,2075,105,14,12,21,Learn More,152,7.325301204819278,73.25301204819277
P0075,2025-06-22,D006,Pediatrics,Child Nutrition,Flyer,1631,52,8,6,9,Save Post,75,4.598405885959534,45.98405885959534
P0076,2025-08-06,D023,Cardiology,ECG,Educational Post,2814,113,7,13,24,Book Appointment,157,5.579246624022743,55.792466240227434
P0077,2025-06-20,D014,Neurology,Migraine,Carousel,3303,166,18,15,31,Read More,230,6.963366636391159,69.63366636391159
P0078,2025-03-10,D013,Neurology,Migraine,Flyer,2924,117,10,13,21,Read More,161,5.506155950752394,55.061559507523945
P0079,2025-10-24,D023,Cardiology,Blood Pressure,Static Post,6083,251,28,36,37,No CTA,352,5.786618444846293,57.866184448462924
P0080,2025-01-11,D027,General Medicine,Dehydration,Carousel,4319,147,15,20,29,Read More,211,4.885390136605696,48.85390136605696
P0081,2025-06-01,D005,Diabetology,Insulin,Static Post,8211,355,46,52,74,Book Appointment,527,6.418219461697723,64.18219461697723
P0082,2025-06-04,D022,Cardiology,ECG,Reel/Video,4224,181,22,24,42,Learn More,269,6.368371212121213,63.683712121212125
P0083,2025-03-15,D023,Cardiology,Heart Health,Flyer,5960,284,28,37,51,Save Post,400,6.7114093959731544,67.11409395973155
P0084,2025-02-09,D023,Cardiology,Heart Health,Educational Post,1605,58,13,5,10,Save Post,86,5.358255451713396,53.58255451713396
P0085,2025-07-24,D020,Dermatology,Acne,Static Post,6081,263,26,40,45,Contact Doctor,374,6.150304226278572,61.503042262785726
P0086,2025-03-26,D015,Neurology,Headache,Flyer,1359,38,0,3,7,Read More,48,3.532008830022075,35.32008830022075
P0087,2025-12-10,D007,Pediatrics,Immunity,Carousel,3057,128,10,15,16,No CTA,169,5.528295714753026,55.28295714753026
P0088,2025-04-02,D024,Cardiology,ECG,Static Post,8029,344,31,27,77,No CTA,479,5.965873707809192,59.65873707809192
P0089,2025-05-24,D023,Cardiology,Cholesterol,Carousel,4210,220,22,34,37,Book Appointment,313,7.434679334916865,74.34679334916865
P0090,2025-04-21,D030,General Medicine,Immunity,Carousel,3953,188,22,22,35,Contact Doctor,267,6.754363774348596,67.54363774348596
P0091,2025-04-19,D013,Neurology,Memory,Reel/Video,4471,212,19,31,35,No CTA,297,6.642809214940729,66.42809214940729
P0092,2025-04-05,D010,Pediatrics,Fever,Static Post,4625,142,17,10,26,No CTA,195,4.216216216216216,42.16216216216216
P0093,2025-04-02,D017,Dermatology,Skin Allergy,Static Post,2284,104,13,15,18,Contact Doctor,150,6.567425569176883,65.67425569176882
P0094,2025-02-20,D011,Neurology,Stroke,Educational Post,5054,307,35,46,48,Book Appointment,436,8.626830233478433,86.26830233478432
P0095,2025-05-20,D011,Neurology,Headache,Carousel,2134,106,7,10,27,Read More,150,7.029053420805999,70.29053420805998
P0096,2025-05-17,D003,Diabetology,Diabetic Diet,Static Post,2365,42,4,7,13,Contact Doctor,66,2.7906976744186047,27.906976744186046
P0097,2025-07-14,D030,General Medicine,Vitamin Deficiency,Static Post,2369,91,11,16,21,Learn More,139,5.867454622203462,58.674546222034614
P0098,2025-05-20,D008,Pediatrics,Vaccination,Reel/Video,3998,232,41,33,52,Contact Doctor,358,8.95447723861931,89.5447723861931
P0099,2025-12-23,D028,General Medicine,Weight Loss,Static Post,2525,110,14,12,15,Read More,151,5.98019801980198,59.8019801980198
P0100,2025-03-26,D011,Neurology,Stroke,Reel/Video,2457,94,17,12,14,Read More,137,5.575905575905575,55.759055759055755
P0101,2025-04-17,D019,Dermatology,Eczema,Static Post,1791,65,4,6,3,Learn More,78,4.355108877721943,43.55108877721943
P0102,2025-06-07,D006,Pediatrics,Immunity,Carousel,2169,106,18,21,12,Read More,157,7.238358690640849,72.3835869064085
P0103,2025-05-01,D021,Cardiology,Blood Pressure,Flyer,5590,255,21,32,51,Learn More,359,6.422182468694096,64.22182468694096
P0104,2025-03-04,D009,Pediatrics,Vaccination,Carousel,6925,333,39,51,66,Contact Doctor,489,7.061371841155234,70.61371841155234
P0105,2025-04-01,D017,Dermatology,Eczema,Static Post,13158,399,39,55,79,Save Post,572,4.3471652226782185,43.47165222678218
P0106,2025-10-25,D021,Cardiology,Heart Attack,Carousel,7113,338,44,49,64,Read More,495,6.959088991986503,69.59088991986503
P0107,2025-04-20,D008,Pediatrics,Fever,Flyer,1219,48,8,5,14,Learn More,75,6.152584085315833,61.52584085315833
P0108,2025-11-03,D012,Neurology,Sleep,Static Post,3766,144,9,18,24,Learn More,195,5.177907594264472,51.77907594264471
P0109,2025-05-16,D013,Neurology,Sleep,Carousel,2403,112,14,16,22,Book Appointment,164,6.824802330420308,68.24802330420309
P0110,2025-10-14,D008,Pediatrics,Immunity,Reel/Video,1340,69,13,10,11,No CTA,103,7.686567164179105,76.86567164179105
P0111,2025-06-06,D028,General Medicine,Dehydration,Carousel,7788,496,84,59,95,Contact Doctor,734,9.424756034925526,94.24756034925525
P0112,2025-11-27,D029,General Medicine,Fever,Static Post,2736,114,18,13,17,Save Post,162,5.921052631578947,59.21052631578947
P0113,2025-06-19,D008,Pediatrics,Immunity,Educational Post,5371,128,12,15,20,Save Post,175,3.2582386892571216,32.582386892571215
P0114,2025-08-18,D023,Cardiology,Heart Attack,Reel/Video,2738,109,12,17,17,Save Post,155,5.661066471877282,56.610664718772824
P0115,2025-02-12,D020,Dermatology,Eczema,Static Post,1916,100,16,14,17,Contact Doctor,147,7.67223382045929,76.7223382045929
P0116,2025-05-10,D015,Neurology,Stroke,Static Post,6596,432,50,58,85,Book Appointment,625,9.475439660400243,94.75439660400242
P0117,2025-02-26,D025,Cardiology,ECG,Educational Post,4370,257,23,27,37,Contact Doctor,344,7.871853546910755,78.71853546910755
P0118,2025-10-19,D019,Dermatology,Hair Loss,Static Post,3072,151,15,32,31,Read More,229,7.454427083333333,74.54427083333333
P0119,2025-07-22,D017,Dermatology,Sunscreen,Carousel,2863,75,5,10,9,Contact Doctor,99,3.4579112818721622,34.57911281872162
P0120,2025-03-26,D011,Neurology,Migraine,Static Post,3098,176,26,17,33,Contact Doctor,252,8.134280180761781,81.34280180761782
P0121,2025-11-27,D029,General Medicine,Dehydration,Carousel,1443,76,14,9,13,Save Post,112,7.7616077616077614,77.61607761607762
P0122,2025-05-10,D009,Pediatrics,Immunity,Carousel,4029,225,28,32,45,Book Appointment,330,8.190618019359643,81.90618019359643
P0123,2025-07-07,D029,General Medicine,Vitamin Deficiency,Reel/Video,1336,60,3,9,17,Read More,89,6.661676646706587,66.61676646706587
P0124,2025-01-23,D007,Pediatrics,Fever,Reel/Video,7945,428,53,54,93,Contact Doctor,628,7.904342353681561,79.04342353681561
P0125,2025-10-11,D017,Dermatology,Eczema,Carousel,3451,251,17,34,41,Contact Doctor,343,9.939148073022313,99.39148073022312
P0126,2025-05-06,D016,Dermatology,Skin Allergy,Carousel,4965,269,33,38,42,Book Appointment,382,7.693856998992951,76.9385699899295
P0127,2025-08-23,D002,Diabetology,Diabetes,Reel/Video,1709,86,15,12,21,Learn More,134,7.840842598010532,78.40842598010532
P0128,2025-03-11,D005,Diabetology,HbA1c,Reel/Video,4547,217,43,38,45,No CTA,343,7.543435232021113,75.43435232021113
P0129,2025-01-17,D022,Cardiology,Cholesterol,Educational Post,3695,172,18,29,34,Read More,253,6.847090663058186,68.47090663058187
P0130,2025-09-24,D013,Neurology,Migraine,Carousel,4773,288,37,44,40,Save Post,409,8.5690341504295,85.69034150429499
P0131,2025-02-22,D014,Neurology,Stroke,Reel/Video,3669,202,26,29,31,Learn More,288,7.849550286181521,78.49550286181521
P0132,2025-07-11,D020,Dermatology,Acne,Carousel,2865,142,12,14,21,Read More,189,6.596858638743456,65.96858638743456
P0133,2025-09-02,D022,Cardiology,ECG,Reel/Video,8005,413,56,57,84,Read More,610,7.6202373516552155,76.20237351655216
P0134,2025-11-06,D007,Pediatrics,Newborn Care,Reel/Video,3268,190,21,20,25,Book Appointment,256,7.833537331701345,78.33537331701346
P0135,2025-11-09,D003,Diabetology,HbA1c,Static Post,4401,304,32,42,61,Learn More,439,9.975005680527154,99.75005680527153
P0136,2025-01-12,D020,Dermatology,Sunscreen,Carousel,4750,157,24,25,30,Contact Doctor,236,4.968421052631579,49.68421052631579
P0137,2025-05-15,D006,Pediatrics,Child Nutrition,Static Post,2794,138,17,17,32,No CTA,204,7.301360057265568,73.01360057265569
P0138,2025-09-03,D002,Diabetology,HbA1c,Static Post,4759,260,37,32,47,Contact Doctor,376,7.9008194998949355,79.00819499894936
P0139,2025-03-01,D028,General Medicine,Fever,Reel/Video,2332,118,21,15,23,Save Post,177,7.590051457975987,75.90051457975987
P0140,2025-11-23,D005,Diabetology,Diabetic Diet,Static Post,3624,156,13,18,24,No CTA,211,5.822295805739515,58.22295805739514
P0141,2025-04-15,D019,Dermatology,Skin Allergy,Static Post,2272,98,15,15,19,Book Appointment,147,6.470070422535211,64.70070422535211
P0142,2025-12-13,D023,Cardiology,Heart Attack,Reel/Video,2086,73,11,16,7,Read More,107,5.129434324065196,51.29434324065196
P0143,2025-01-13,D003,Diabetology,HbA1c,Static Post,1631,81,8,9,24,Contact Doctor,122,7.480073574494176,74.80073574494176
P0144,2025-09-12,D009,Pediatrics,Newborn Care,Static Post,1759,67,14,9,23,Book Appointment,113,6.424104604889141,64.24104604889142
P0145,2025-12-27,D027,General Medicine,Dehydration,Carousel,2950,124,15,17,26,Save Post,182,6.169491525423728,61.69491525423729
P0146,2025-09-10,D008,Pediatrics,Newborn Care,Reel/Video,3117,295,28,28,53,Contact Doctor,404,12.961180622393325,129.61180622393326
P0147,2025-08-25,D024,Cardiology,Cholesterol,Static Post,4005,153,22,18,31,Learn More,224,5.593008739076155,55.93008739076155
P0148,2025-12-13,D019,Dermatology,Eczema,Carousel,5293,276,34,39,60,Contact Doctor,409,7.72718685055734,77.2718685055734
P0149,2025-12-07,D019,Dermatology,Skin Allergy,Carousel,1526,79,8,11,20,Book Appointment,118,7.732634338138926,77.32634338138926
P0150,2025-07-16,D003,Diabetology,HbA1c,Static Post,1896,92,9,8,25,Book Appointment,134,7.067510548523207,70.67510548523207
P0151,2025-02-20,D012,Neurology,Memory,Static Post,9267,625,60,81,124,Book Appointment,890,9.603971080176972,96.03971080176971
P0152,2025-05-13,D019,Dermatology,Skin Allergy,Static Post,6797,314,29,36,49,No CTA,428,6.29689568927468,62.9689568927468
P0153,2025-01-08,D010,Pediatrics,Newborn Care,Educational Post,3717,188,21,25,31,Save Post,265,7.12940543449018,71.2940543449018
P0154,2025-05-10,D013,Neurology,Stroke,Carousel,4889,315,39,36,72,Save Post,462,9.449785232153815,94.49785232153815
P0155,2025-10-28,D030,General Medicine,Vitamin Deficiency,Flyer,4432,208,32,28,47,Learn More,315,7.10740072202166,71.0740072202166
P0156,2025-05-20,D023,Cardiology,Heart Attack,Static Post,2784,87,7,11,15,Book Appointment,120,4.310344827586207,43.10344827586207
P0157,2025-04-05,D014,Neurology,Headache,Static Post,2957,103,10,13,14,Contact Doctor,140,4.734528238079134,47.345282380791346
P0158,2025-09-07,D006,Pediatrics,Immunity,Educational Post,1309,69,6,3,12,Save Post,90,6.875477463712758,68.75477463712758
P0159,2025-01-27,D025,Cardiology,Cholesterol,Static Post,2077,60,7,11,14,Contact Doctor,92,4.429465575349061,44.29465575349061
P0160,2025-06-24,D028,General Medicine,Immunity,Static Post,5810,327,31,39,62,Contact Doctor,459,7.900172117039587,79.00172117039587
P0161,2025-10-08,D009,Pediatrics,Child Nutrition,Educational Post,4268,290,36,36,47,Learn More,409,9.58294283036551,95.8294283036551
P0162,2025-07-05,D020,Dermatology,Skin Allergy,Static Post,4181,296,32,30,46,Learn More,404,9.662760105237982,96.62760105237982
P0163,2025-12-04,D014,Neurology,Headache,Carousel,3768,218,34,24,36,Save Post,312,8.280254777070063,82.80254777070063
P0164,2025-12-23,D009,Pediatrics,Immunity,Educational Post,8036,327,40,43,63,Learn More,473,5.886012941762071,58.860129417620705
P0165,2025-03-05,D022,Cardiology,Heart Attack,Flyer,3032,83,8,5,20,No CTA,116,3.825857519788918,38.25857519788918
P0166,2025-10-16,D018,Dermatology,Sunscreen,Educational Post,3369,126,12,21,27,Save Post,186,5.520926090828139,55.209260908281394
P0167,2025-10-16,D010,Pediatrics,Immunity,Static Post,2827,149,16,17,31,Learn More,213,7.534488857446056,75.34488857446055
P0168,2025-12-07,D002,Diabetology,Diabetes,Educational Post,4363,202,24,21,39,Learn More,286,6.5551226220490495,65.55122622049049
P0169,2025-04-20,D005,Diabetology,Insulin,Reel/Video,3697,278,30,33,41,Learn More,382,10.332702190965648,103.32702190965648
P0170,2025-04-23,D017,Dermatology,Acne,Carousel,6173,231,33,39,45,Learn More,348,5.637453426210919,56.37453426210919
P0171,2025-03-14,D004,Diabetology,Blood Sugar,Static Post,5781,239,28,44,48,No CTA,359,6.209998270195468,62.09998270195468
P0172,2025-04-02,D014,Neurology,Migraine,Static Post,3053,156,17,19,24,Book Appointment,216,7.075008188666885,70.75008188666885
P0173,2025-03-16,D007,Pediatrics,Child Nutrition,Carousel,7242,310,28,50,44,Book Appointment,432,5.965202982601491,59.65202982601491
P0174,2025-03-01,D021,Cardiology,Heart Attack,Static Post,8313,403,49,45,77,Book Appointment,574,6.904847828702033,69.04847828702033
P0175,2025-12-16,D016,Dermatology,Acne,Educational Post,2701,143,12,15,33,Save Post,203,7.515734912995187,75.15734912995187
P0176,2025-09-28,D019,Dermatology,Hair Loss,Carousel,3495,313,38,39,50,Save Post,440,12.589413447782546,125.89413447782546
P0177,2025-09-14,D022,Cardiology,ECG,Reel/Video,2858,120,9,13,25,Learn More,167,5.843247025892232,58.43247025892232
P0178,2025-12-07,D002,Diabetology,Diabetes,Flyer,2808,119,16,17,27,Learn More,179,6.3746438746438745,63.74643874643875
P0179,2025-11-09,D009,Pediatrics,Newborn Care,Educational Post,5792,279,44,40,55,Read More,418,7.216850828729282,72.16850828729282
P0180,2025-01-05,D009,Pediatrics,Child Nutrition,Static Post,3224,79,12,15,11,Save Post,117,3.6290322580645165,36.29032258064517
P0181,2025-12-09,D009,Pediatrics,Child Nutrition,Reel/Video,6259,309,35,40,69,Contact Doctor,453,7.237577887841508,72.37577887841508
P0182,2025-04-03,D012,Neurology,Migraine,Static Post,3904,145,19,21,35,Book Appointment,220,5.635245901639344,56.352459016393446
P0183,2025-07-16,D017,Dermatology,Eczema,Carousel,7592,359,35,56,72,Read More,522,6.875658587987356,68.75658587987355
P0184,2025-09-10,D030,General Medicine,Dehydration,Static Post,3085,206,25,20,27,Book Appointment,278,9.011345218800649,90.11345218800648
P0185,2025-04-14,D025,Cardiology,Heart Health,Reel/Video,6532,271,41,26,62,Book Appointment,400,6.12369871402327,61.2369871402327
P0186,2025-07-17,D005,Diabetology,Insulin,Educational Post,3204,165,18,22,32,Learn More,237,7.397003745318352,73.97003745318352
P0187,2025-04-26,D016,Dermatology,Sunscreen,Flyer,3024,133,16,18,19,Contact Doctor,186,6.15079365079365,61.507936507936506
P0188,2025-10-10,D004,Diabetology,HbA1c,Static Post,1525,40,4,4,7,Read More,55,3.606557377049181,36.0655737704918
P0189,2025-06-16,D016,Dermatology,Skin Allergy,Reel/Video,7159,333,44,43,65,Save Post,485,6.77468920240257,67.7468920240257
P0190,2025-01-25,D003,Diabetology,Insulin,Static Post,3717,148,13,21,17,No CTA,199,5.353779930051116,53.53779930051116
P0191,2025-11-14,D005,Diabetology,Blood Sugar,Carousel,5366,182,19,31,39,No CTA,271,5.050316809541558,50.50316809541558
P0192,2025-01-07,D007,Pediatrics,Newborn Care,Educational Post,5549,164,16,21,21,Save Post,222,4.000720850603712,40.007208506037124
P0193,2025-10-12,D001,Diabetology,Insulin,Flyer,3764,62,5,10,14,Contact Doctor,91,2.4176408076514346,24.176408076514345
P0194,2025-04-18,D019,Dermatology,Acne,Carousel,3238,198,21,22,41,Learn More,282,8.709079678814083,87.09079678814084
P0195,2025-02-25,D015,Neurology,Stroke,Educational Post,5689,188,24,24,39,No CTA,275,4.8338899630866585,48.338899630866585
P0196,2025-01-17,D014,Neurology,Headache,Flyer,2451,104,10,15,19,Contact Doctor,148,6.0383516931864545,60.38351693186454
P0197,2025-04-27,D023,Cardiology,Heart Health,Reel/Video,2892,166,17,20,18,Save Post,221,7.641770401106501,76.41770401106501
P0198,2025-01-03,D009,Pediatrics,Newborn Care,Carousel,2776,143,18,17,23,Save Post,201,7.240634005763688,72.40634005763688
P0199,2025-04-23,D014,Neurology,Headache,Carousel,2315,117,14,20,22,No CTA,173,7.473002159827214,74.73002159827213
P0200,2025-12-09,D014,Neurology,Memory,Carousel,6341,197,24,27,38,Contact Doctor,286,4.510329601009304,45.10329601009305
P0201,2025-11-15,D028,General Medicine,Fever,Static Post,3223,81,15,11,17,Contact Doctor,124,3.84734719205709,38.4734719205709
P0202,2025-01-18,D027,General Medicine,Immunity,Reel/Video,2393,218,25,33,27,Contact Doctor,303,12.661930631007104,126.61930631007104
P0203,2025-12-25,D007,Pediatrics,Newborn Care,Carousel,4927,210,30,22,43,Save Post,305,6.190379541303024,61.90379541303024
P0204,2025-07-28,D018,Dermatology,Hair Loss,Static Post,3268,130,6,15,22,Read More,173,5.2937576499388,52.937576499388
P0205,2025-09-09,D002,Diabetology,Diabetes,Static Post,2550,118,13,18,17,Save Post,166,6.509803921568627,65.09803921568627
P0206,2025-04-19,D015,Neurology,Headache,Carousel,10307,627,64,98,127,Read More,916,8.88716406325798,88.8716406325798
P0207,2025-08-12,D018,Dermatology,Sunscreen,Reel/Video,3861,189,22,23,24,Contact Doctor,258,6.682206682206681,66.82206682206682
P0208,2025-11-07,D001,Diabetology,HbA1c,Reel/Video,3415,119,15,22,24,Learn More,180,5.27086383601757,52.7086383601757
