Date,Specialty,Topic,Keyword,Search Interest,Trend Change %,Region
2025-11-01,Neurology,Sleep,sleep,65.6,10.9,India
2025-12-01,Neurology,Sleep,sleep,72.0,-3.9,India
2025-01-01,Neurology,Memory,memory,78.6,-5.9,India
2025-02-01,Neurology,Memory,memory,84.5,17.0,India
2025-03-01,Neurology,Memory,memory,87.8,4.3,India
2025-04-01,Neurology,Memory,memory,91.6,-0.6,India
2025-05-01,Neurology,Memory,memory,78.4,7.5,India
2025-06-01,Neurology,Memory,memory,77.8,-2.4,India
2025-07-01,Neurology,Memory,memory,71.2,-4.9,India
2025-08-01,Neurology,Memory,memory,63.8,5.5,India
2025-09-01,Neurology,Memory,memory,68.5,1.4,India
2025-10-01,Neurology,Memory,memory,65.8,10.1,India
2025-11-01,Neurology,Memory,memory,74.0,8.6,India
2025-12-01,Neurology,Memory,memory,82.1,2.1,India
2025-01-01,Dermatology,Acne,acne,73.6,-9.4,India
2025-02-01,Dermatology,Acne,acne,81.0,6.3,India
2025-03-01,Dermatology,Acne,acne,84.6,12.0,India
2025-04-01,Dermatology,Acne,acne,90.6,-3.5,India
2025-05-01,Dermatology,Acne,acne,90.2,-11.5,India
2025-06-01,Dermatology,Acne,acne,85.3,-6.0,India
2025-07-01,Dermatology,Acne,acne,75.3,16.4,India
2025-08-01,Dermatology,Acne,acne,80.0,6.6,India
2025-09-01,Dermatology,Acne,acne,60.2,0.1,India
2025-10-01,Dermatology,Acne,acne,71.4,23.0,India
2025-11-01,Dermatology,Acne,acne,65.9,5.4,India
2025-12-01,Dermatology,Acne,acne,77.4,5.5,India
2025-01-01,Dermatology,Hair Loss,hair loss,61.2,-1.2,India
2025-02-01,Dermatology,Hair Loss,hair loss,76.8,5.4,India
2025-03-01,Dermatology,Hair Loss,hair loss,74.2,-2.8,India
2025-04-01,Dermatology,Hair Loss,hair loss,80.5,-3.4,India
2025-05-01,Dermatology,Hair Loss,hair loss,82.7,7.5,India
2025-06-01,Dermatology,Hair Loss,hair loss,72.0,-7.3,India
2025-07-01,Dermatology,Hair Loss,hair loss,66.8,7.5,India
2025-08-01,Dermatology,Hair Loss,hair loss,60.4,10.1,India
2025-09-01,Dermatology,Hair Loss,hair loss,63.8,17.5,India
2025-10-01,Dermatology,Hair Loss,hair loss,63.2,5.7,India
2025-11-01,Dermatology,Hair Loss,hair loss,65.4,-2.3,India
2025-12-01,Dermatology,Hair Loss,hair loss,72.2,-7.4,India
2025-01-01,Dermatology,Skin Allergy,skin allergy,93.5,-1.1,India
2025-02-01,Dermatology,Skin Allergy,skin allergy,73.5,0.1,India
2025-03-01,Dermatology,Skin Allergy,skin allergy,79.2,8.8,India
2025-04-01,Dermatology,Skin Allergy,skin allergy,81.3,10.0,India
2025-05-01,Dermatology,Skin Allergy,skin allergy,92.2,-0.4,India
2025-06-01,Dermatology,Skin Allergy,skin allergy,83.5,-14.3,India
2025-07-01,Dermatology,Skin Allergy,skin allergy,76.7,21.5,India
2025-08-01,Dermatology,Skin Allergy,skin allergy,79.8,-8.0,India
2025-09-01,Dermatology,Skin Allergy,skin allergy,74.2,-5.7,India
2025-10-01,Dermatology,Skin Allergy,skin allergy,75.3,-0.2,India
2025-11-01,Dermatology,Skin Allergy,skin allergy,64.9,-6.0,India
2025-12-01,Dermatology,Skin Allergy,skin allergy,72.2,-14.1,India
2025-01-01,Dermatology,Eczema,eczema,50.3,-22.6,India
2025-02-01,Dermatology,Eczema,eczema,56.7,-4.1,India
2025-03-01,Dermatology,Eczema,eczema,56.0,6.5,India
2025-04-01,Dermatology,Eczema,eczema,63.6,6.9,India
2025-05-01,Dermatology,Eczema,eczema,58.6,9.3,India
2025-06-01,Dermatology,Eczema,eczema,54.6,-1.4,India
2025-07-01,Dermatology,Eczema,eczema,53.3,18.0,India
2025-08-01,Dermatology,Eczema,eczema,45.9,6.1,India
2025-09-01,Dermatology,Eczema,eczema,50.1,-19.5,India
2025-10-01,Dermatology,Eczema,eczema,41.1,-20.2,India
2025-11-01,Dermatology,Eczema,eczema,40.9,1.0,India
2025-12-01,Dermatology,Eczema,eczema,50.3,-7.3,India
2025-01-01,Dermatology,Sunscreen,sunscreen,52.9,-6.1,India
2025-02-01,Dermatology,Sunscreen,sunscreen,57.4,9.5,India
2025-03-01,Dermatology,Sunscreen,sunscreen,61.7,-7.4,India
2025-04-01,Dermatology,Sunscreen,sunscreen,58.8,-9.2,India
2025-05-01,Dermatology,Sunscreen,sunscreen,57.8,-0.5,India
2025-06-01,Dermatology,Sunscreen,sunscreen,54.1,14.3,India
2025-07-01,Dermatology,Sunscreen,sunscreen,42.7,-6.2,India
2025-08-01,Dermatology,Sunscreen,sunscreen,56.2,10.7,India
2025-09-01,Dermatology,Sunscreen,sunscreen,42.3,7.5,India
2025-10-01,Dermatology,Sunscreen,sunscreen,51.1,1.1,India
2025-11-01,Dermatology,Sunscreen,sunscreen,50.8,10.8,India
2025-12-01,Dermatology,Sunscreen,sunscreen,47.0,-19.5,India
2025-01-01,Cardiology,Blood Pressure,blood pressure,45.5,-15.6,India
2025-02-01,Cardiology,Blood Pressure,blood pressure,53.4,21.0,India
2025-03-01,Cardiology,Blood Pressure,blood pressure,50.8,-5.9,India
2025-04-01,Cardiology,Blood Pressure,blood pressure,50.6,-7.2,India
2025-05-01,Cardiology,Blood Pressure,blood pressure,62.6,14.4,India
2025-06-01,Cardiology,Blood Pressure,blood pressure,50.9,9.4,India
2025-07-01,Cardiology,Blood Pressure,blood pressure,53.0,9.4,India
2025-08-01,Cardiology,Blood Pressure,blood pressure,48.8,6.4,India
2025-09-01,Cardiology,Blood Pressure,blood pressure,39.6,-2.6,India
2025-10-01,Cardiology,Blood Pressure,blood pressure,46.4,20.3,India
2025-11-01,Cardiology,Blood Pressure,blood pressure,46.9,16.5,India
2025-12-01,Cardiology,Blood Pressure,blood pressure,45.6,-7.9,India
2025-01-01,Cardiology,Cholesterol,cholesterol,38.6,2.5,India
2025-02-01,Cardiology,Cholesterol,cholesterol,52.9,11.9,India
2025-03-01,Cardiology,Cholesterol,cholesterol,48.4,3.4,India
2025-04-01,Cardiology,Cholesterol,cholesterol,43.3,1.5,India
2025-05-01,Cardiology,Cholesterol,cholesterol,41.0,8.1,India
2025-06-01,Cardiology,Cholesterol,cholesterol,39.5,1.8,India
2025-07-01,Cardiology,Cholesterol,cholesterol,49.8,13.3,India
2025-08-01,Cardiology,Cholesterol,cholesterol,38.2,-7.8,India
2025-09-01,Cardiology,Cholesterol,cholesterol,42.1,15.9,India
2025-10-01,Cardiology,Cholesterol,cholesterol,40.9,-9.4,India
2025-11-01,Cardiology,Cholesterol,cholesterol,40.1,1.0,India
2025-12-01,Cardiology,Cholesterol,cholesterol,41.3,-2.0,India
2025-01-01,Cardiology,Heart Attack,heart attack,38.7,5.4,India
2025-02-01,Cardiology,Heart Attack,heart attack,37.6,-1.8,India
2025-03-01,Cardiology,Heart Attack,heart attack,41.1,-18.2,India
2025-04-01,Cardiology,Heart Attack,heart attack,40.5,3.3,India
2025-05-01,Cardiology,Heart Attack,heart attack,47.8,-23.7,India
2025-06-01,Cardiology,Heart Attack,heart attack,48.6,-8.3,India
2025-07-01,Cardiology,Heart Attack,heart attack,36.0,-5.9,India
2025-08-01,Cardiology,Heart Attack,heart attack,42.8,21.4,India
2025-09-01,Cardiology,Heart Attack,heart attack,43.3,3.4,India
2025-10-01,Cardiology,Heart Attack,heart attack,38.5,4.3,India
2025-11-01,Cardiology,Heart Attack,heart attack,49.6,11.5,India
2025-12-01,Cardiology,Heart Attack,heart attack,40.3,-0.6,India
2025-01-01,Cardiology,Heart Health,heart health,60.9,5.8,India
2025-02-01,Cardiology,Heart Health,heart health,62.7,7.2,India
2025-03-01,Cardiology,Heart Health,heart health,61.0,-6.8,India
2025-04-01,Cardiology,Heart Health,heart health,60.2,3.8,India
2025-05-01,Cardiology,Heart Health,heart health,64.9,-10.4,India
2025-06-01,Cardiology,Heart Health,heart health,57.9,2.5,India
2025-07-01,Cardiology,Heart Health,heart health,55.1,10.2,India
2025-08-01,Cardiology,Heart Health,heart health,48.1,-16.6,India
2025-09-01,Cardiology,Heart Health,heart health,52.4,2.0,India
2025-10-01,Cardiology,Heart Health,heart health,53.4,12.5,India
2025-11-01,Cardiology,Heart Health,heart health,45.7,-7.9,India
2025-12-01,Cardiology,Heart Health,heart health,61.2,-1.3,India
2025-01-01,Cardiology,ECG,ecg,33.5,-2.6,India
2025-02-01,Cardiology,ECG,ecg,41.3,-0.1,India
2025-03-01,Cardiology,ECG,ecg,42.5,-5.6,India
2025-04-01,Cardiology,ECG,ecg,38.5,6.9,India
2025-05-01,Cardiology,ECG,ecg,42.9,18.9,India
2025-06-01,Cardiology,ECG,ecg,49.0,0.7,India
2025-07-01,Cardiology,ECG,ecg,37.8,-7.8,India
2025-08-01,Cardiology,ECG,ecg,38.1,8.6,India
2025-09-01,Cardiology,ECG,ecg,39.2,14.6,India
2025-10-01,Cardiology,ECG,ecg,40.6,16.6,India
2025-11-01,Cardiology,ECG,ecg,31.8,-5.7,India
2025-12-01,Cardiology,ECG,ecg,35.8,1.3,India
2025-01-01,General Medicine,Fever,fever,60.7,0.7,India
2025-02-01,General Medicine,Fever,fever,62.7,7.5,India
2025-03-01,General Medicine,Fever,fever,74.4,6.1,India
2025-04-01,General Medicine,Fever,fever,62.5,2.1,India
2025-05-01,General Medicine,Fever,fever,70.7,5.1,India
2025-06-01,General Medicine,Fever,fever,66.8,15.0,India
2025-07-01,General Medicine,Fever,fever,58.9,6.4,India
2025-08-01,General Medicine,Fever,fever,50.2,-33.5,India
2025-09-01,General Medicine,Fever,fever,51.6,7.8,India
2025-10-01,General Medicine,Fever,fever,47.6,16.7,India
2025-11-01,General Medicine,Fever,fever,62.0,3.0,India
2025-12-01,General Medicine,Fever,fever,64.1,4.3,India
2025-01-01,General Medicine,Vitamin Deficiency,vitamin deficiency,56.5,-10.6,India
2025-02-01,General Medicine,Vitamin Deficiency,vitamin deficiency,56.1,12.2,India
2025-03-01,General Medicine,Vitamin Deficiency,vitamin deficiency,60.8,1.9,India
2025-04-01,General Medicine,Vitamin Deficiency,vitamin deficiency,65.6,-7.0,India
2025-05-01,General Medicine,Vitamin Deficiency,vitamin deficiency,63.6,-1.1,India
2025-06-01,General Medicine,Vitamin Deficiency,vitamin deficiency,57.9,7.6,India
2025-07-01,General Medicine,Vitamin Deficiency,vitamin deficiency,53.9,10.4,India
2025-08-01,General Medicine,Vitamin Deficiency,vitamin deficiency,57.5,-11.0,India
2025-09-01,General Medicine,Vitamin Deficiency,vitamin deficiency,51.6,-1.8,India
2025-10-01,General Medicine,Vitamin Deficiency,vitamin deficiency,59.4,20.9,India
2025-11-01,General Medicine,Vitamin Deficiency,vitamin deficiency,54.9,6.5,India
2025-12-01,General Medicine,Vitamin Deficiency,vitamin deficiency,56.5,4.3,India
2025-01-01,General Medicine,Immunity,immunity,52.9,-1.1,India
2025-02-01,General Medicine,Immunity,immunity,60.4,6.4,India
2025-03-01,General Medicine,Immunity,immunity,61.0,10.6,India
2025-04-01,General Medicine,Immunity,immunity,57.6,17.4,India
2025-05-01,General Medicine,Immunity,immunity,52.9,-7.5,India
2025-06-01,General Medicine,Immunity,immunity,56.4,0.3,India
2025-07-01,General Medicine,Immunity,immunity,57.6,6.4,India
2025-08-01,General Medicine,Immunity,immunity,55.6,9.2,India
2025-09-01,General Medicine,Immunity,immunity,44.4,-18.8,India
2025-10-01,General Medicine,Immunity,immunity,50.4,13.5,India
2025-11-01,General Medicine,Immunity,immunity,54.9,-2.0,India
2025-12-01,General Medicine,Immunity,immunity,52.3,3.0,India
2025-01-01,General Medicine,Weight Loss,weight loss,67.1,9.8,India
2025-02-01,General Medicine,Weight Loss,weight loss,69.9,10.0,India
2025-03-01,General Medicine,Weight Loss,weight loss,68.4,-5.6,India
2025-04-01,General Medicine,Weight Loss,weight loss,72.6,-6.6,India
2025-05-01,General Medicine,Weight Loss,weight loss,67.5,1.0,India
2025-06-01,General Medicine,Weight Loss,weight loss,78.9,-10.8,India
2025-07-01,General Medicine,Weight Loss,weight loss,70.5,7.1,India
2025-08-01,General Medicine,Weight Loss,weight loss,64.4,1.5,India
2025-09-01,General Medicine,Weight Loss,weight loss,62.3,14.3,India
2025-10-01,General Medicine,Weight Loss,weight loss,56.8,-7.7,India
2025-11-01,General Medicine,Weight Loss,weight loss,67.0,2.2,India
2025-12-01,General Medicine,Weight Loss,weight loss,57.2,0.7,India
2025-01-01,General Medicine,Dehydration,dehydration,82.3,16.2,India
2025-02-01,General Medicine,Dehydration,dehydration,97.6,17.4,India
2025-03-01,General Medicine,Dehydration,dehydration,92.6,7.3,India
2025-04-01,General Medicine,Dehydration,dehydration,94.1,-1.1,India
2025-05-01,General Medicine,Dehydration,dehydration,80.8,9.5,India
2025-06-01,General Medicine,Dehydration,dehydration,85.7,3.1,India
2025-07-01,General Medicine,Dehydration,dehydration,88.7,-3.6,India
2025-08-01,General Medicine,Dehydration,dehydration,91.7,7.9,India
2025-09-01,General Medicine,Dehydration,dehydration,86.3,14.3,India
2025-10-01,General Medicine,Dehydration,dehydration,81.2,8.2,India
2025-11-01,General Medicine,Dehydration,dehydration,76.2,-10.6,India
2025-12-01,General Medicine,Dehydration,dehydration,82.9,11.4,India
